DriftType,Metric,Drifts,Features,Scenario,Detector,Mean,Std
abrupt,D1,3,30,3d 30f,HAST,2.66,3.146275281685972
abrupt,D1,3,30,3d 30f,OCDD,19.96335289429157,0.9473076011803144
abrupt,D1,3,30,3d 30f,Feature-KS,3.5427777777777743,1.7961430728846768
abrupt,D1,3,30,3d 30f,ADWIN,15.093677248677253,2.169805488010184
abrupt,D1,3,30,3d 30f,EDDM,20.532501480639414,4.880986483925422
abrupt,D1,3,30,3d 30f,DDM,1.8666666666666725,0.7738791177495943
abrupt,D2,3,30,3d 30f,HAST,0.2999999999999995,0.1000000000000017
abrupt,D2,3,30,3d 30f,OCDD,0.5111111111111108,0.18724777273725285
abrupt,D2,3,30,3d 30f,Feature-KS,0.2999999999999933,0.05091750772173083
abrupt,D2,3,30,3d 30f,ADWIN,3.1777777777777825,4.15448589917209
abrupt,D2,3,30,3d 30f,EDDM,29.633333333333336,20.812333119488144
abrupt,D2,3,30,3d 30f,DDM,7.244444444444449,10.428687878357346
abrupt,R,3,30,3d 30f,HAST,0.17,0.1777638883463118
abrupt,R,3,30,3d 30f,OCDD,0.9254317430858915,0.02617767428336085
abrupt,R,3,30,3d 30f,Feature-KS,0.215,0.11629703349613008
abrupt,R,3,30,3d 30f,ADWIN,0.5526190476190477,0.09451031449786454
abrupt,R,3,30,3d 30f,EDDM,0.8474020921607128,0.08315707159801035
abrupt,R,3,30,3d 30f,DDM,0.125,0.20155644370746376
abrupt,D1,3,60,3d 60f,HAST,3.0538888888888933,3.328569790743742
abrupt,D1,3,60,3d 60f,OCDD,18.57119545730327,2.872481356093937
abrupt,D1,3,60,3d 60f,Feature-KS,4.083333333333329,0.0
abrupt,D1,3,60,3d 60f,ADWIN,13.894708994708997,3.5186338943569124
abrupt,D1,3,60,3d 60f,EDDM,21.964955186880246,7.9998317762637985
abrupt,D1,3,60,3d 60f,DDM,2.43333333333334,1.4360439485692011
abrupt,D2,3,60,3d 60f,HAST,1.2777777777777823,1.2365323876385188
abrupt,D2,3,60,3d 60f,OCDD,0.3888888888888843,0.10243938285881123
abrupt,D2,3,60,3d 60f,Feature-KS,0.33333333333332626,5.551115123125783e-17
abrupt,D2,3,60,3d 60f,ADWIN,2.5000000000000067,1.2931443160847216
abrupt,D2,3,60,3d 60f,EDDM,46.33333333333334,34.2945843905203
abrupt,D2,3,60,3d 60f,DDM,2.33333333333334,1.4452988925785866
abrupt,R,3,60,3d 60f,HAST,0.11499999999999999,0.1467140075112121
abrupt,R,3,60,3d 60f,OCDD,0.8858568170346608,0.03480472516227508
abrupt,R,3,60,3d 60f,Feature-KS,0.25,0.0
abrupt,R,3,60,3d 60f,ADWIN,0.5726190476190476,0.06653899339277203
abrupt,R,3,60,3d 60f,EDDM,0.935539057624298,0.36622809884884683
abrupt,R,3,60,3d 60f,DDM,0.05,0.10000000000000002
abrupt,D1,3,90,3d 90f,HAST,2.288888888888894,2.20896042808365
abrupt,D1,3,90,3d 90f,OCDD,13.606056255835668,6.124792703963367
abrupt,D1,3,90,3d 90f,Feature-KS,4.546666666666662,0.9266666666666687
abrupt,D1,3,90,3d 90f,ADWIN,16.725304232804234,2.207992373146898
abrupt,D1,3,90,3d 90f,EDDM,19.259522016510527,7.5580962572292485
abrupt,D1,3,90,3d 90f,DDM,2.3916666666666733,1.0916666666666675
abrupt,D2,3,90,3d 90f,HAST,8.677777777777782,11.913831571583065
abrupt,D2,3,90,3d 90f,OCDD,0.3888888888888819,0.14272480642961236
abrupt,D2,3,90,3d 90f,Feature-KS,0.33333333333332626,5.551115123125783e-17
abrupt,D2,3,90,3d 90f,ADWIN,3.9888888888888943,3.321255898111548
abrupt,D2,3,90,3d 90f,EDDM,32.41111111111111,26.351098086614343
abrupt,D2,3,90,3d 90f,DDM,7.7222222222222285,10.673522102571111
abrupt,R,3,90,3d 90f,HAST,0.075,0.16007810593582122
abrupt,R,3,90,3d 90f,OCDD,0.6739783990519285,0.1734170589708863
abrupt,R,3,90,3d 90f,Feature-KS,0.27999999999999997,0.06000000000000001
abrupt,R,3,90,3d 90f,ADWIN,0.5377380952380953,0.08340821465604477
abrupt,R,3,90,3d 90f,EDDM,0.7919786267372475,0.1841251729601437
abrupt,R,3,90,3d 90f,DDM,0.15,0.2
abrupt,D1,5,30,5d 30f,HAST,1.5476190476190477,1.9990859589326855
abrupt,D1,5,30,5d 30f,OCDD,11.323981605930403,1.0894600914113035
abrupt,D1,5,30,5d 30f,Feature-KS,0.0,0.0
abrupt,D1,5,30,5d 30f,ADWIN,8.736237373737373,0.7316289921607717
abrupt,D1,5,30,5d 30f,EDDM,12.059917136899747,2.254184723451046
abrupt,D1,5,30,5d 30f,DDM,1.8333333333333333,0.5753742743254651
abrupt,D2,5,30,5d 30f,HAST,0.28,0.49959983987187184
abrupt,D2,5,30,5d 30f,OCDD,0.32000000000000006,0.16
abrupt,D2,5,30,5d 30f,Feature-KS,0.0,0.0
abrupt,D2,5,30,5d 30f,ADWIN,3.3,2.227554713132766
abrupt,D2,5,30,5d 30f,EDDM,27.380000000000003,17.60214759624518
abrupt,D2,5,30,5d 30f,DDM,10.28,8.670963037633133
abrupt,R,5,30,5d 30f,HAST,0.09523809523809522,0.10101525445522104
abrupt,R,5,30,5d 30f,OCDD,0.8882657694896077,0.019179075548417624
abrupt,R,5,30,5d 30f,Feature-KS,0.0,0.0
abrupt,R,5,30,5d 30f,ADWIN,0.4608585858585858,0.08154454491145212
abrupt,R,5,30,5d 30f,EDDM,0.7594238777114486,0.1300735352439638
abrupt,R,5,30,5d 30f,DDM,0.175,0.19525624189766638
abrupt,D1,5,60,5d 60f,HAST,2.3676190476190473,2.3623401576420284
abrupt,D1,5,60,5d 60f,OCDD,9.933435603769087,1.5690692788129301
abrupt,D1,5,60,5d 60f,Feature-KS,0.0,0.0
abrupt,D1,5,60,5d 60f,ADWIN,9.68669191919192,1.406094720366152
abrupt,D1,5,60,5d 60f,EDDM,11.793109933430804,3.5884056154571775
abrupt,D1,5,60,5d 60f,DDM,2.346666666666667,0.5623759122390172
abrupt,D2,5,60,5d 60f,HAST,3.78,5.096233903580172
abrupt,D2,5,60,5d 60f,OCDD,0.12,0.13266499161421602
abrupt,D2,5,60,5d 60f,Feature-KS,0.0,0.0
abrupt,D2,5,60,5d 60f,ADWIN,2.6399999999999997,0.6858571279792899
abrupt,D2,5,60,5d 60f,EDDM,39.00000000000001,26.519728505397637
abrupt,D2,5,60,5d 60f,DDM,12.1,29.101924334998884
abrupt,R,5,60,5d 60f,HAST,0.09523809523809523,0.1198780559540391
abrupt,R,5,60,5d 60f,OCDD,0.8329366955387826,0.053262970205756266
abrupt,R,5,60,5d 60f,Feature-KS,0.0,0.0
