DriftType,Metric,Drifts,Features,Scenario,Detector,Mean,Std
gradual,D1,3,30,3d 30f,HAST,5.071111111111113,3.0377672112309093
gradual,D1,3,30,3d 30f,OCDD,17.163575644627848,2.0683658264677733
gradual,D1,3,30,3d 30f,Feature-KS,7.8533333333333335,0.43999999999999895
gradual,D1,3,30,3d 30f,ADWIN,15.346269841269844,2.042706672040061
gradual,D1,3,30,3d 30f,EDDM,17.616715551979834,4.060830039035057
gradual,D1,3,30,3d 30f,DDM,3.0150000000000032,1.2693491333050264
gradual,D2,3,30,3d 30f,HAST,3.3888888888888893,1.5253010227088086
gradual,D2,3,30,3d 30f,OCDD,1.3333333333333337,0.2629368792488737
gradual,D2,3,30,3d 30f,Feature-KS,2.0777777777777713,0.6403124237432842
gradual,D2,3,30,3d 30f,ADWIN,3.8222222222222255,2.8769840175150474
gradual,D2,3,30,3d 30f,EDDM,28.72222222222223,21.26338358496788
gradual,D2,3,30,3d 30f,DDM,16.044444444444448,24.466010688552096
gradual,R,3,30,3d 30f,HAST,0.15499999999999997,0.19805302320338358
gradual,R,3,30,3d 30f,OCDD,0.9010438104448963,0.03445652197590927
gradual,R,3,30,3d 30f,Feature-KS,0.49000000000000005,0.029999999999999995
gradual,R,3,30,3d 30f,ADWIN,0.4860714285714286,0.11251360461957387
gradual,R,3,30,3d 30f,EDDM,0.8838826347403257,0.08284629656627142
gradual,R,3,30,3d 30f,DDM,0.41,0.5553377350765929
gradual,D1,3,60,3d 60f,HAST,6.425000000000006,3.9809354707433053
gradual,D1,3,60,3d 60f,OCDD,10.916032116032111,3.09281617273769
gradual,D1,3,60,3d 60f,Feature-KS,8.0,0.0
gradual,D1,3,60,3d 60f,ADWIN,17.080476190476194,1.4395442873013828
gradual,D1,3,60,3d 60f,EDDM,21.1892364688802,8.403895786937406
gradual,D1,3,60,3d 60f,DDM,3.008333333333337,1.783586430637876
gradual,D2,3,60,3d 60f,HAST,5.600000000000007,3.1545381771522614
gradual,D2,3,60,3d 60f,OCDD,1.177777777777773,0.5310134731265994
gradual,D2,3,60,3d 60f,Feature-KS,2.333333333333326,0.2581988897471611
gradual,D2,3,60,3d 60f,ADWIN,6.4888888888888925,4.104559343876928
gradual,D2,3,60,3d 60f,EDDM,41.05555555555556,38.337785570754285
